feature,importance
macd,0.13554975705944852
var24,0.0986144369135828
ema26,0.07880422414156305
sma21,0.07814923465542736
sma9,0.07318544015980594
macd_signal,0.0728593437499305
bb_pos,0.07116238536824196
ema12,0.06839719110044915
sma50,0.06759288954534783
rsi,0.06633126588344403
price,0.06599401608449641
max24,0.04149422706266653
min24,0.04097260431634015
volatility,0.04089298395925578
atr,0.0
volume_z,0.0
